"WmoCode", "StationNameEnglish", "Latitude", "Longitude", "HeightAboveMSL", "HeightofWindWane", "HeightofBarometer","HeightofThermometer",
"8402001301","48555","SURAT THANI AGROMET.","9.1","99.633333333333","36.80","11.50","36.80","1.25",
"8404001201","48550","KO SAMUI","9.4666666666667","100.05","4.00","12.25","5.00","1.25",
"8416001401","48556","PHRA SANG","8.5702222222222","99.25825","12.08","12.00","14.05","1.50",
"8417001201","48551","SURAT THANI","9.1355555555556","99.151944444444","5.00","10.00","6.95","1.25",
"8501001201","48532","RANONG","9.9833333333333","98.616666666667","7.00","10.50","7.99","1.25",
"8601001201","48517","CHUMPHON","10.49875","99.188472222222","4.40","11.90","5.95","1.20",
"8607001301","48520","SAWI AGROMET.","10.333333333333","99.1","13.00","10.00","13.33","1.25",
"9001001501","48568","SONGKHLA","7.1821111111111","100.60769444444","4.57","18.00","6.56","1.30",
"9010001401","48574","SA DAO","6.7980555555556","100.39055555556","24.70","10.00","25.50","1.25",
"9011001202","48569","HAT YAI AIRPORT","6.9166666666667","100.43333333333","27.40","10.00","34.93","1.25",
"9011001301","48571","KHO HONG AGROMET.","7","100.5","6.96","10.80","9.73","1.25",
"9101001201","48570","SATUN","6.65","100.08333333333","4.06","11.20","5.96","1.20",
"9201001201","48567","TRANG AIRPORT","7.5166666666667","99.616666666667","14.32","12.00","15.83","1.28",
"9301001301","48560","PHATTHALUNG AGROMET.","7.5833333333333","100.16666666667","2.00","11.00","4.15","1.25",
"9403001201","48580","PATTANI AIRPORT","6.7833333333333","101.15","4.05","10.80","6.01","1.20",
"9501001301","48581","YALA AGROMET.","6.5166666666667","101.28333333333","30.00","11.00","36.04","1.25",
"9601001201","48583","NARATHIWAT","6.4166666666667","101.81666666667","3.57","12.25","5.13","1.20",
