*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4242-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTD  
 1986 278   100    65  18.0     3  0.69  1127  2266     0   628     0  3393     0   0.0 0.000    49 0.000 0.000 0.000 0.547 0.000   1.48   0.00  61.3  0.00  0.00  1.00  4.46  1.67  0.41  0.54  0.52    618    250  18.50
 1986 279   101    66  18.0     3  0.68  1133  2316     0   632     0  3450     0   0.0 0.000    47 0.000 0.000 0.000 0.548 0.000   1.46   0.00  59.8  0.00  0.00  1.00  4.53  1.70  0.41  0.54  0.52    645    250  18.30
 1986 280   102    67  18.0     3  0.66  1139  2361     0   635     0  3500     0   0.0 0.000    46 0.000 0.000 0.000 0.550 0.000   1.44   0.00  58.1  0.00  0.00  1.00  4.61  1.73  0.41  0.54  0.52    673    250  18.75
 1986 281   103    68  18.0     3  0.65  1146  2409     0   638     0  3555     0   0.0 0.000    44 0.000 0.000 0.000 0.550 0.000   1.41   0.00  56.6  0.00  0.00  1.00  4.67  1.75  0.41  0.54  0.52    702    250  18.70
 1986 282   104    69  18.0     3  0.63  1151  2451     0   640     0  3602     0   0.0 0.000    43 0.000 0.000 0.000 0.550 0.000   1.40   0.00  54.9  0.00  0.00  1.00  4.74  1.77  0.41  0.54  0.52    731    250  18.60
 1986 283   105    70  19.0     3  0.62  1157  2495     0   643     0  3652     0   0.0 0.000    42 0.000 0.000 0.000 0.547 0.000   1.38   0.00  53.3  0.00  0.00  1.00  4.79  1.79  0.41  0.54  0.51    761    250  18.00
 1986 284   106    71  19.0     3  0.59  1159  2536     0   644     0  3695     0   0.0 0.000    41 0.000 0.000 0.000 0.546 0.000   1.36   0.00  51.3  0.00  0.00  1.00  4.84  1.81  0.41  0.54  0.51    792    250  17.70
 1986 285   107    72  19.0     3  0.57  1160  2563     0   643     0  3723     0   0.0 0.000    40 0.000 0.000 0.000 0.542 0.000   1.35   0.00  49.1  0.00  0.00  1.00  4.88  1.83  0.41  0.54  0.51    823    250  16.70
 1986 286   108    73  19.0     3  0.55  1162  2600     0   643     0  3762     0   0.0 0.000    39 0.000 0.000 0.000 0.532 0.000   1.34   0.00  47.1  0.00  0.00  1.00  4.90  1.83  0.41  0.53  0.51    855    250  17.40
 1986 287   109    74  19.0     3  0.52  1164  2638     0   644     0  3801     0   0.0 0.000    39 0.000 0.000 0.000 0.524 0.000   1.32   0.00  45.0  0.00  0.00  1.00  4.93  1.84  0.41  0.53  0.51    888    250  18.45
 1986 288   110    75  19.0     3  0.50  1165  2675     0   644     0  3840     0   0.0 0.000    38 0.000 0.000 0.000 0.516 0.000   1.31   0.00  43.0  0.00  0.00  1.00  4.97  1.85  0.41  0.53  0.51    921    250  19.25
 1986 289   111    76  19.0     3  0.48  1168  2716     0   646     0  3883     0   0.0 0.000    38 0.000 0.000 0.000 0.507 0.000   1.30   0.00  41.0  0.00  0.00  1.00  5.00  1.86  0.41  0.53  0.51    955    250  19.45
 1986 290   112    77  19.0     3  0.45  1169  2748     0   645     0  3917     0   0.0 0.000    37 0.000 0.000 0.000 0.499 0.000   1.28   0.00  38.9  0.00  0.00  1.00  5.04  1.87  0.41  0.53  0.51    990    250  19.15
 1986 291   113    78  19.0     3  0.41  1171  2786     0   646     0  3957     0   0.0 0.000    37 0.000 0.000 0.000 0.486 0.000   1.27   0.00  35.3  0.00  0.00  1.00  5.06  1.88  0.41  0.53  0.50   1026    250  19.45
 1986 292   114    79  19.0     3  0.38  1173  2827     0   647     0  4000     0   0.0 0.000    36 0.000 0.000 0.000 0.475 0.000   1.26   0.00  32.2  0.00  0.00  1.00  5.09  1.89  0.41  0.52  0.50   1063    250  19.60
 1986 293   115    80  19.0     4  0.37  1173  2866     0   648     0  4038     0   0.0 0.000    36 0.000 0.000 0.000 0.464 0.000   1.25   0.00  31.7  0.00  0.00  1.00  5.13  1.89  0.41  0.52  0.50   1100    250  18.85
 1986 294   116    81  19.0     4  0.37  1173  2906     0   648     0  4079     0   0.0 0.000    36 0.000 0.000 0.000 0.453 0.000   1.23   0.00  31.2  0.00  0.00  1.00  5.16  1.90  0.41  0.52  0.50   1138    250  18.85
 1986 295   117    82  19.0     4  0.36  1172  2927     0   646     0  4100     0   0.0 0.000    36 0.000 0.000 0.000 0.447 0.000   1.24   0.00  30.7  0.00  0.00  1.00  5.19  1.91  0.41  0.52  0.50   1175    250  15.30
 1986 296   118    83  19.0     4  0.35  1172  2958     0   645     0  4130     0   0.0 0.000    36 0.000 0.000 0.000 0.409 0.000   1.23   0.00  30.3  0.00  0.00  1.00  5.20  1.90  0.41  0.52  0.50   1213    250  16.95
 1986 297   119    84  19.0     4  0.35  1172  2999     0   645     0  4171     0   0.0 0.000    36 0.000 0.000 0.000 0.391 0.000   1.22   0.00  29.9  0.00  0.00  1.00  5.22  1.91  0.41  0.52  0.50   1250    250  18.75
 1986 298   120    85  19.0     4  0.35  1172  3029     0   644     0  4201     0   0.0 0.000    36 0.000 0.000 0.000 0.376 0.000   1.21   0.00  29.5  0.00  0.00  1.00  5.26  1.92  0.41  0.52  0.50   1288    250  18.35
 1986 299   121    86  19.0     4  0.34  1172  3069     0   645     0  4241     0   0.0 0.000    36 0.000 0.000 0.000 0.353 0.000   1.20   0.00  29.1  0.00  0.00  1.00  5.28  1.93  0.41  0.52  0.49   1326    250  19.40
 1986 300   122    87  19.0     5  0.34  1172  1557   835   644  1561  4290  3094  50.4 0.195    36 0.000 0.000 0.000 0.000 0.000   1.53  53.52  28.9  0.00  0.00  1.00  5.32  1.94  0.41  0.52  0.49   1364    250  19.00
 1986 301   123    88  19.0     5  0.34  1160  1488   973   644  1698  4345  3602  47.1 0.224    36 0.000 0.000 0.000 0.000 0.000   1.53  57.28  29.1  0.00  0.00  1.00  5.33  1.95  0.41  0.51  0.49   1402    250  19.70
 1986 302   124    89  19.0     5  0.33  1148  1425  1088   642  1813  4387  4030  45.0 0.248    36 0.000 0.000 0.000 0.000 0.000   1.53  60.00  29.2  0.00  0.00  1.00  5.35  1.96  0.41  0.51  0.49   1440    250  17.10
 1986 303   125    90  19.0     5  0.33  1142  1386  1192   642  1917  4445  4415  43.4 0.268    36 0.000 0.000 0.000 0.000 0.000   1.51  62.17  29.1  0.00  0.00  1.00  5.36  1.97  0.41  0.51  0.49   1478    250  15.80
 1986 304   126    91  19.0     5  0.33  1136  1353  1294   642  2019  4507  4791  42.1 0.287    36 0.000 0.000 0.000 0.000 0.000   1.49  64.07  29.1  0.00  0.00  1.00  5.38  1.98  0.41  0.51  0.49   1516    250  15.85
 1986 305   127    92  19.0     5  0.33  1129  1315  1398   642  2123  4566  5176  41.0 0.306    36 0.000 0.000 0.000 0.000 0.000   1.48  65.83  29.1  0.00  0.00  1.00  5.40  1.99  0.41  0.51  0.49   1555    250  16.60
 1986 306   128    93  19.0     5  0.33  1123  1281  1498   643  2223  4627  5548  40.1 0.324    36 0.000 0.000 0.000 0.000 0.000   1.45  67.37  29.0  0.00  0.00  1.00  5.41  2.00  0.41  0.51  0.49   1593    250  16.45
 1986 307   129    94  19.0     5  0.32  1116  1244  1599   643  2324  4684  5922  39.2 0.341    36 0.000 0.000 0.000 0.000 0.000   1.43  68.79  29.0  0.00  0.00  1.00  5.43  2.01  0.41  0.51  0.49   1631    250  17.00
 1986 308   130    95  19.0     5  0.32  1110  1211  1695   643  2420  4741  6276  38.6 0.357    36 0.000 0.000 0.000 0.000 0.000   1.41  70.03  28.9  0.00  0.00  1.00  5.44  2.02  0.41  0.51  0.49   1670    250  16.50
 1986 309   131    96  19.0     5  0.32  1105  1179  1787   642  2513  4796  6619  38.0 0.373    36 0.000 0.000 0.000 0.000 0.000   1.38  71.13  28.8  0.00  0.00  1.00  5.45  2.03  0.41  0.50  0.48   1708    250  16.40
 1986 310   132    97  19.0     5  0.32  1098  1144  1880   642  2605  4848  6962  37.4 0.388    36 0.000 0.000 0.000 0.000 0.000   1.36  72.16  28.7  0.00  0.00  1.00  5.46  2.03  0.41  0.50  0.48   1747    250  16.85
 1986 311   133    98  19.0     5  0.31  1092  1108  1972   641  2698  4897  7305  36.9 0.403    36 0.000 0.000 0.000 0.000 0.000   1.33  73.11  28.6  0.00  0.00  1.00  5.46  2.04  0.41  0.50  0.48   1785    250  17.25
