*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 1986 294   116    81  50.3   0.0  50.3  0.00  1.23  46.7  14.5  35.8  1.23  1.23  0.00  0.72  21.26   2.64
 1986 295   117    82  50.9   0.0  50.9  0.00  1.24  47.4  14.6  36.4  1.24  1.24  0.00  0.74  21.89   2.64
 1986 296   118    83  50.9   0.0  50.9  0.00  1.23  47.4  14.4  36.5  1.23  1.23  0.00  0.74  22.52   2.64
 1986 297   119    84  50.9   0.0  50.9  0.00  1.22  47.4  14.3  36.6  1.22  1.22  0.00  0.74  23.15   2.64
 1986 298   120    85  50.9   0.0  50.9  0.00  1.21  47.4  14.2  36.7  1.21  1.21  0.00  0.74  23.78   2.64
 1986 299   121    86  50.9   0.0  50.9  0.00  1.20  47.4  14.1  36.8  1.20  1.20  0.00  0.74  24.41   2.64
 1986 300   122    87  50.9   9.3  41.6  0.59  1.53  47.4  17.9  23.8  1.53  1.53  0.00  0.74  25.04   2.64
 1986 301   123    88  50.9  10.4  40.5  0.62  1.53  47.4  17.7  22.7  1.53  1.53  0.00  0.74  25.68   2.64
 1986 302   124    89  50.9  11.5  39.4  0.64  1.53  47.4  17.6  21.8  1.53  1.53  0.00  0.74  26.31   2.64
 1986 303   125    90  50.9  12.6  38.3  0.66  1.51  47.4  17.3  21.0  1.51  1.51  0.00  0.74  26.94   2.64
 1986 304   126    91  50.9  13.7  37.2  0.68  1.49  47.4  17.0  20.2  1.49  1.49  0.00  0.74  27.58   2.64
 1986 305   127    92  50.9  14.8  36.1  0.70  1.48  47.4  16.7  19.4  1.48  1.48  0.00  0.74  28.21   2.64
 1986 306   128    93  50.9  16.0  34.9  0.72  1.45  47.4  16.3  18.6  1.45  1.45  0.00  0.74  28.85   2.64
 1986 307   129    94  50.9  17.1  33.8  0.74  1.43  47.4  16.0  17.8  1.43  1.43  0.00  0.74  29.48   2.64
 1986 308   130    95  50.9  18.2  32.7  0.75  1.41  47.4  15.6  17.1  1.41  1.41  0.00  0.74  30.12   2.64
 1986 309   131    96  50.9  19.4  31.6  0.77  1.38  47.4  15.3  16.3  1.38  1.38  0.00  0.74  30.76   2.64
 1986 310   132    97  50.9  20.5  30.4  0.79  1.36  47.4  14.9  15.5  1.36  1.36  0.00  0.74  31.40   2.64
 1986 311   133    98  50.9  21.6  29.3  0.80  1.33  47.4  14.5  14.7  1.33  1.33  0.00  0.74  32.03   2.64
